,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,1,2,1,2,1*,2.00,15,13.33,0,0,0,0,0,0
ODIs,7,-,-,-,-,-,-,-,-,-,-,-,0,0
T20Is,10,-,-,-,-,-,-,-,-,-,-,-,3,0
First-class,76,97,22,1344,92,17.92,2630,51.10,0,6,137,34,30,0
List A,84,41,11,275,57,9.16,411,66.90,0,1,20,10,21,0
T20s,118,38,19,259,39*,13.63,208,124.51,0,0,16,13,37,0
