,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
T20Is,1,1,0,19,19,19.00,24,79.16,0,0,1,0,1,0
First-class,53,87,7,2945,211,36.81,5300,55.56,9,11,340,65,71,7
List A,78,72,7,1779,90,27.36,2270,78.37,0,11,150,33,84,12
T20s,133,127,13,3151,102*,27.64,2511,125.48,2,20,245,126,69,9
