,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,52,95,2,3152,258,33.89,5370,58.69,6,17,399,48,55,0
ODIs,79,68,11,2088,102*,36.63,2225,93.84,3,14,170,59,39,0
T20Is,23,20,5,232,38,15.46,178,130.33,0,0,20,9,9,0
First-class,127,215,10,6942,258,33.86,,,14,36,,,96,0
List A,150,132,20,3989,164,35.61,4116,96.91,7,21,342,121,70,0
T20s,116,106,18,2210,103*,25.11,1625,136.00,1,8,171,98,45,0
