,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,12,2,2,27,25*,-,28,96.42,0,0,2,1,2,0
T20Is,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,0
First-class,86,99,33,1721,87,26.07,4508,38.17,0,8,218,32,29,0
List A,110,51,25,472,39*,18.15,586,80.54,0,0,38,10,30,0
T20s,130,41,23,203,28*,11.27,206,98.54,0,0,16,4,33,0
